中文,英语,印尼语,西班牙语
我的收入,My income,Penghasilan saya,Mis ingresos
我的公会,My agency,Agency saya,Mi agencia
贵族,VIP ,VIP,VIP
成为VIP,Become VIP,Menjadi VIP,Conviértase en un VIP
勋章,Badge,Lencana,Insignia
进房特效,Entrance Effect,Efek masuk ruangan,Efecto de entrada
vip礼物,VIP Gift,Hadiah vip,regalo de vip
高亮昵称,Highlight name,Sorot nama panggilan,Apodo destacado
vip座位,VIP Seat ,Kursi vip,Asientos vip
贵族资料卡,VIP data card,Kartu Informasi VIP,Tarjeta VIP
喜欢我的人,Like me,Orang yang suka saya,La gente a la que le gusto
访客功能,Visitor function,Fungsi tamu,Funciones de los visitantes
防禁麦,Anti-ban mic,Cegah larangan gandum,Antiprohibición
防踢,Anti-kick,Anti-kick,Anti-patada
更多,coming soon,Lebih banyak,Más
24000 Coins / 30Days ,%s coins / %s days,24000 Koin / 30 Hari,24000 Monedas / 30Días
加入vip ,Join VIP,Bergabunglah dengan vip,Únete a vip
骑士,Knight,Ksatria,Knight
男爵,Baron,Baron,Barón
伯爵,Earl,Earl,Earl
侯爵,Marquis,Marquis,Marqués
公爵,Duke,Duke,El Duque
国王,King,Raja,El Rey
%s 进入房间,%s enter room,%s memasuki ruangan,%s entrar en la habitación
在线用户,Online user,Pengguna online,Usuarios en línea
购买座驾,Buy Ride,Beli kendaraan,Comprar un coche
成为贵族,Become VIP,Menjadi bangsawan,Convertirse en un VIP
说hi,Say hi,Katakan Hai,Saluda
资料,Information,Data,Información
关注,Follow,Follow,Seguir
确定将%s踢出房间？,Are you sure to kick %s out of the room?,Apakah Anda yakin akan mengusir %s dari ruangan?,¿Seguro que echarán a %s de la sala?
取消,Cancel,Membatalkan,Cancelar
确定,Confirm ,Tentu,Confirmar
踢出1天,Kicked out for 1 day,ditendang selama 1 hari,Expulsión 1 día
踢出3天,Kicked out for 3 days,ditendang selama 3 hari,Expulsado 3 días
踢出7天,Kicked out for 7 days,ditendang selama 7 hari,Expulsión 7 días
最近访客,Recent visitors,pengunjung ,Visitantes recientes
有人默默喜欢了你很久,Someone silently likes you for a long time,Seseorang diam-diam menyukaimu untuk waktu yang lama,Alguien a quien le has gustado en silencio durante mucho tiempo
他们都喜欢换你，快去看看吧,"They all like you, go check it out","Mereka semua menyukaimu, periksalah","Todos te quieren, ¡compruébalo!"
%s 次数,%s times,%s kali,%s  veces
%s的个标签,%s tags,Tag %s,%s de etiquetas
私聊,Private chat,Obrolan pribadi,Chat privado
隐藏,Hide,Bersembunyi,Ocultar
删除,Delete,Hapus,Borrar
直播动态,Live moment,Berita live,Noticias en directo
单人直播动态,Single live moment,Dinamika Langsung Tunggal,Dinámica individual en vivo
本月直播时长,Live duration this month,Waktu siaran langsung bulan ini,Horario de atención al público este mes
本月直播收益（钻石）,Live income of this month (diamonds),Penghasilan Streaming Langsung Bulan Ini (Berlian),Ganancias en vivo del mes (diamantes)
上个月直播时长,Live duration of last month,Durasi siaran langsung bulan lalu,Horas en directo del mes pasado
上个月直播收益（钻石）,Live income last month (diamonds),Penghasilan Live Streaming Bulan Lalu (Berlian),Ganancias del mes pasado en directo (diamantes)
统计单人直播时长,Statistics of single live duration,Statistik waktu siaran langsung pemain tunggal,Estadísticas de las horas de vida de una persona
2022年1月25日,%s 年 %s 月 %s 日,25 Januari 2022,25 de enero de 2022
直播时长,Live duration,Waktu siaran langsung,Duración de la emisión en directo
当场收益,Income of this live,Penghasilan hari ini ,Ganancias sobre el terreno
观看人次,Views,Views,Visitas
%s 钻石,%s diamond,%s berlian,%s Diamante
%s人,%s user,%s orang,%s personas
邀请,Invitation,Undangan,Invitación
您还不是VIP,You are not VIP yet ,Anda bukan VIP ,Aún no es VIP
资料,Profile,Profil,Perfil
vip用户不能被踢出房间,VIP users cannot be kicked out of the room,Pengguna VIP tidak dapat dikeluarkan dari ruangan,Los usuarios VIP no pueden ser expulsados ​​de la sala.
vip用户不能被禁麦,VIP users cannot be banned from the microphone,Pengguna VIP tidak dapat diblokir mic ,Los usuarios VIP no pueden ser baneados
ta来看过你,He/she came to see you,Ta pernah mengunjungi Anda,Él/Ella vino a verte
%s次,%s time, %s kali,%s veces
成为vip，既可解锁技能,Become VIP to unlock skills,Menjadi VIP untuk membuka keterampilan,"Conviértete en VIP, que puede desbloquear las habilidades."
成为%s，既可解锁技能,Become %s to unlock skills,Menjadi %s untuk membuka keterampilan,"onviértete en %s, que puede desbloquear las habilidades."
开通VIP,become  VIP,Membuka VIP ,Activar VIP
