中文,英语,印尼语,西班牙语,,,
登录注册页,,,,,,
登录,Log in,Login,Iniciar,,,
注册,Sign up,Daftar,Registrarse,,,
输入手机号,Please enter phone number,Masukkan nomor telepon,Escriba número de teléfono por favor,,,
请输入密码,Please enter password,Masukkan kata sandi,Escriba la contraseña por favor,,,
立即注册,Register now,Daftar segera,Regístrese ahora,,,
忘记密码？,Forget password?,Lupakan kata sandi,¿Contraseña olvidada?,,,
选择国家/地区,Select country/region,Memilih negara/wilasah,Seleccione el país/región,,,
验证码,Verification code,Kode verifikasi,Código de verificación,,,
发送,Send,Kirim ,Enviar,,,
请输入新密码,Please enter new password,Silahkan masukan kata sandi baru ,Escriba la contraseña nueva por favor,,,
重置密码,Reset password,Mengubah kata sandi,Restablecer contraseña,,,
请输入昵称,Please enter nickname,Silahkan masukkan nama panggilan,Escriba el apodo por favor,,,
女,Female,Perempuan,Chica,,,
男,Male,Pria,Chico,,,
确认后不得更改性别,You may not change  the gender after confirmation,Anda tidak bisa mengubah jenis kelamin setelah konfirmasi,No se puede cambiar el género después de la confirmación,,,
下一步,Next,Lanjutkan,Siguiente,,,
国家/地区,Country / Region,Nagara/wilayah,País/Región,,,
选择,Choose,Pilih ,Elegir,,,
ok,OK,OK,OK,,,
首页,尽量翻译短一点,首字母大写,,,,
首页,Room,Beranda,Habitación,,,
发现,Discover,Temukan,Descubrir,,,
消息,Message,Pesan,Mensajes,,,
我的,Me,Saya,Yo,,,
热门,Hot,Hot ,Hot,,,
推荐,Recommend,Rekmendasi,Recomendar,,,
三人房,3 Seats,3 Kursi,3 Asientos,,,
七人房,7 Seats,7 Kursi,7 Asientos,,,
单人房,Single ,1 Kursi,1 Asientos,,,
%s 等 %s 人正在直播中,%s waitting %s in live,%san%s edang siaran,,,,
直播中,Living,Sedang siaran,Transmisión en vivo,,,
更多精彩直播,More exciting live,Siaran yg lebih banyak,Más emocionante en vivo,,,
翻转,Turn over,Balik,Voltear,,,
房间标题,Room topic,Topik ruangan,Tema de la sala,,,
好的标题能让更多人看见你,Nice topic can let more user find you,Topik yang bagus dapat membuat lebih banyak pengguna menemukan anda,Un buen tema puede permitir que más usuarios te encuentren,,,
直播,Live,Siaran,Transmisión en vivo,,,
我已阅读并同意《xxx协议》,I have read and agree to the《xxx agreement》 ,Saya sudah membaca dan menyetujui《Perjanjian xxx》,He leído y acepto el 《acuerdo xxx》 ,,,
美颜,Beauty,Beauty,Beauty,,,
滤镜,Filter,Filter,Filter,,,
美白,Whitening,Whitening,Whitening,,,
磨皮,Buffing,Buffing,Buffing,,,
瘦脸,Thin face,Thin face,Thin face,,,
大眼,Big eyes,Big eyes,Big eyes,,,
原图,Origin,Origin,Origin,,,
自然,Natural,Natural,Natural,,,
谈雅,Cool,Cool,Cool,,,
粉嫩,Blush,Blush,Blush,,,
清新,Fresh,Fresh,Fresh,,,
微光,Shimmer,Shimmer,Shimmer,,,
盛夏,Midsummer,Midsummer,Midsummer,,,
晨曦,Dawn,Dawn,Dawn,,,
暖风,Warm,Warm,Warm,,,
元气,Vitality,Vitality,Vitality,,,
氧气,Oxygen,Oxygen,Oxygen,,,
房间内,尽量翻译短一点,,,,,
魅力值,Charm,Karisma,Encanto,,,
今日排名,Today's rank,Peringkat hari ini,Ranking de hoy,,,
笑声,Laugh,,Risa,,,
快邀请嘉宾上麦互动吧,Let's invite guests to mic Interactive,Cepat mengajarkan tamu naik kursi untuk interaktif,Invite a sus invitados a tomar el micrófono e interactuar.,,,
